001	ket_love_n_v	love	n & v	爱	家人和朋友	I love playing with my dog.	
002	ket_rest_n_v	rest	n & v	休息；其余部分	身体、健康和锻炼	Let's rest for a while.	a tired child resting peacefully in a hammock beneath a tree.
003	ket_back_n_adv_adj	back	n, adv & adj	后退	身体、健康和锻炼	I walked back home from the park.	a person viewed clearly from behind with the whole back visible.
004	ket_swim_v_n	swim	v & n	游泳	身体、健康和锻炼	We can swim in the pool.	a child actively swimming freestyle through clear pool water.
005	ket_exercise_n_v	exercise	n & v	锻炼	身体、健康和锻炼	Exercise was part of the plan.	a child exercising with jumping jacks on a safe gym mat.
006	ket_break_n_v	break	n & v	休息；打破	身体、健康和锻炼	I need to take a break from my work.	a child with one arm safely supported in a cast after a simple bone break, no injury detail.
007	ket_fall_n_v	fall	n & v	落下	身体、健康和锻炼	The cat fell from the tree.	a child safely falling backward onto a thick gym mat while practicing balance.
008	ket_clean_adj_v	clean	adj & v	干净的	身体、健康和锻炼	I need to clean my hands before eating.	a child washing both hands with soap until they are visibly clean.
009	ket_cold_adj_n	cold	adj & n	冷的；感冒	身体、健康和锻炼	I have a cold and need to rest at home.	a child with a cold resting under a blanket while sneezing into a tissue.
010	ket_walk_v_n	walk	v & n	走	身体、健康和锻炼	I like to walk in the park every day.	a child walking naturally along a park path with one foot stepping forward.
011	ket_well_adv_adj	well	adv & adj	出色地	身体、健康和锻炼	I feel well today and can go to school.	a recovered healthy child smiling and giving a thumbs-up after resting.
012	ket_alone_adj_adv	alone	adj & adv	独自的	感受和性格	He was all alone in the big house.	one child sitting alone on a park bench with no other people nearby.
013	ket_fast_adj_adv	fast	adj & adv	快速地	感受和性格	The car was fast and drove to the city quickly.	one runner moving far ahead of several others with clear motion and speed.
014	ket_sweet_n_adj	sweet	n & adj	甜的	感受和性格	She gave me a sweet to eat.	a small bowl of colorful sweets beside a jar of honey, no labels.
015	ket_free_adj_adv	free	adj & adv	自由的	感受和性格	I feel free when I am in nature and away from the city.	a bird flying freely into the open sky from an open cage.
016	ket_better_adj_adv	better	adj & adv	更好的	感受和性格	She feels better today.	one blue toy car with all four wheels newly repaired and rolling smoothly while a child proudly holding the repaired car gives a strong thumbs up; one broken wheel lies discarded behind.
017	ket_hard_adj_adv	hard	adj & adv	难的	感受和性格	The hard work paid off.	a metal hammer resting against a visibly hard solid rock beside a soft pillow for contrast.
018	ket_right_n_adj_adv	right	n, adj & adv	右边；正确的	感受和性格	Please turn right at the next corner.	a child placing the one correctly matching shape into a puzzle while other shapes do not fit.
019	ket_cool_adj_exclam	cool	adj & exclam	凉爽的	感受和性格	That's so cool! I want one too.	friends reacting with admiration as a child performs a safe skateboard trick.
020	ket_kind_adj_n	kind	adj & n	友好的；种类	感受和性格	He is a kind man, so he helps others.	a kind child helping an elderly neighbor carry a bag of groceries.
